,area
area,1.0
latitude_plus_soil_moisture_28_to_100cm_mean,0.12592461820558148
latitude_plus_soil_moisture_0_to_100cm_mean,0.12582315165532568
latitude_plus_vapour_pressure_deficit_max,0.1256785771489435
latitude_plus_soil_moisture_7_to_28cm_mean,0.12561748238001402
latitude_plus_soil_moisture_0_to_7cm_mean,0.12535146706128594
latitude_div_pressure_msl_mean,0.12381583738247949
latitude_plus_vNDVI,0.12367564320309546
latitude_plus_VARI,0.12317027863557893
latitude_times_pressure_msl_mean,0.12208113325385099
latitude_plus_et0_fao_evapotranspiration_sum,0.11702620511069256
latitude_plus_et0_fao_evapotranspiration,0.11702620511069256
latitude_div_surface_pressure_mean,0.11492491235942491
latitude_times_surface_pressure_mean,0.11363112018118508
latitude_plus_rain_sum,0.07977658322033866
latitude_plus_precipitation_sum,0.07969699590140147
latitude_plus_soil_temperature_0_to_7cm_mean,0.07288784759218185
latitude_plus_growing_degree_days_base_0_limit_50,0.07231305522591178
latitude_plus_temperature_2m_mean,0.07174000970025156
latitude_plus_wet_bulb_temperature_2m_mean,0.07156995400498513
latitude_plus_soil_temperature_7_to_28cm_mean,0.06589537843680875
latitude_plus_apparent_temperature_mean,0.06578746231479031
latitude_plus_dew_point_2m_mean,0.06542810301877404
latitude_plus_wind_speed_10m_max,0.06533080116336004
longitude_times_vNDVI,0.06341874892246932
longitude_times_VARI,0.06292505133949927
soil_moisture_28_to_100cm_mean_times_soil_temperature_0_to_7cm_mean,0.061392313708011466
soil_moisture_0_to_100cm_mean_times_soil_temperature_0_to_7cm_mean,0.060275227374285034
latitude_plus_wind_speed_10m_mean,0.05957776717610856
apparent_temperature_mean_times_soil_moisture_28_to_100cm_mean,0.058900216486306244
soil_moisture_7_to_28cm_mean_times_soil_temperature_0_to_7cm_mean,0.05793519391666962
soil_moisture_28_to_100cm_mean_times_wet_bulb_temperature_2m_mean,0.05793383376736655
apparent_temperature_mean_times_soil_moisture_0_to_100cm_mean,0.057801887734196956
