YEAR,CURRENT_SIZE,SIZE_CLASS,LATITUDE,LONGITUDE,GENERAL_CAUSE,RESPONSIBLE_GROUP,ACTIVITY_CLASS,TRUE_CAUSE,FIRE_START_DATE,FIRE_SPREAD_RATE,FIRE_TYPE,FIRE_POSITION_ON_SLOPE,WEATHER_CONDITIONS_OVER_FIRE,TEMPERATURE,RELATIVE_HUMIDITY,WIND_DIRECTION,WIND_SPEED,DISTANCE_FROM_WATER_SOURCE
2006,0.1,A,56.249956,-117.18196,Resident,Resident,Grass,Permit Related,4/2/2006 12:00,0.0,Surface,Flat,Clear,18.0,10.0,SW,2.0,
2006,0.2,B,53.606367,-115.915733,Incendiary,Others (explain in remarks),Lighting Fires,Arson Suspected,4/3/2006 12:10,0.0,Surface,Lower 1/3,Clear,12.0,22.0,SW,10.0,
2006,0.5,B,53.610933,-115.594267,Incendiary,Others (explain in remarks),Lighting Fires,Arson Suspected,4/3/2006 12:15,0.0,Surface,Bottom,Clear,12.0,22.0,SW,10.0,
2006,0.01,A,53.608867,-115.609467,Incendiary,Others (explain in remarks),Lighting Fires,Arson Suspected,4/3/2006 12:10,0.0,Surface,Flat,Clear,12.0,22.0,SW,10.0,
2006,0.1,A,56.249956,-117.050249,Other Industry,Employees,Refuse,Permit Related,4/3/2006 17:00,0.1,Surface,Flat,Clear,6.0,37.0,SW,2.0,
2006,0.2,B,51.152933,-115.0346,Resident,Resident,Unclassified,Unsafe Fire,4/2/2006 14:25,0.0,Surface,Flat,Clear,11.0,32.0,S,20.0,
2006,0.01,A,51.157633,-115.002133,Undetermined,,,,4/3/2006 15:30,0.0,Surface,Flat,Cloudy,11.0,25.0,W,10.0,
2006,0.01,A,53.535445,-116.860038,Resident,Resident,Piles,Permit Related,4/4/2006 10:00,0.0,Surface,Flat,Clear,16.0,17.0,E,2.0,
2006,0.2,B,57.177967,-117.642817,Forest Industry,Contractors,Piles,Abandoned Fire,1/15/2006 12:00,0.0,Ground,Flat,Clear,11.0,35.0,W,7.0,
2006,0.6,B,55.02737,-111.54191,Resident,Resident,Grass,Burning Substance,4/4/2006 7:00,0.0,Surface,Flat,Cloudy,11.0,44.0,NW,4.0,
2006,0.01,A,52.005383,-115.00125,Lightning,,,,7/3/2006 12:00,0.0,Ground,Flat,Clear,28.0,29.0,W,3.0,
2006,0.01,A,49.67305,-114.593,Recreation,Campers,Cooking,Unattended Fire,7/29/2006 9:00,0.0,Surface,Flat,Clear,26.0,22.0,SW,25.0,
2006,0.01,A,54.0689,-117.6814,Lightning,,,,7/22/2006 17:00,1.0,Surface,Flat,CB Wet,25.0,60.0,W,15.0,0.3
2006,0.01,A,54.011667,-116.965,Lightning,,,,7/22/2006 20:00,0.0,Surface,Lower 1/3,Clear,35.0,32.0,W,5.0,
2006,0.01,A,55.076933,-118.609167,Lightning,,,,5/28/2006 22:55,0.1,Surface,Flat,Rainshowers,15.0,45.0,W,10.0,0.5
