Latitude,Longtitude,Area_Class
48.75719,-67.45225,B
48.60762,-67.56837,C
48.84772,-67.2008,A
48.83603,-64.6653,B
48.36661,-64.72834,B
47.84143,-68.71114,A
48.09682,-65.46095,D
48.02428,-65.46101,C
48.1211,-66.41397,C
48.50719,-67.89902,B
49.17386,-64.87402,B
48.46793,-64.83198,B
48.68196,-67.95641,A
48.03238,-65.38708,B
48.03148,-66.87229,B
48.96343,-64.40845,C
48.3738,-64.56438,B
48.36931,-64.63959,B
47.04676,-69.89423,B
47.20893,-69.82009,D
46.95714,-70.2052,C
47.77788,-68.64258,B
47.70534,-68.47995,D
48.78507,-67.31832,C
48.29676,-67.37882,A
49.1292,-64.95465,C
48.7518,-64.37438,B
48.35222,-65.89772,B
47.35042,-69.78687,C
47.91936,-68.63043,B
46.46253,-70.53372,B
46.36481,-71.61584,B
46.27518,-70.30991,C
46.17926,-70.31905,C
46.19095,-70.47532,B
46.76619,-71.16404,C
46.52698,-70.19902,A
46.29407,-71.62372,B
46.5009,-71.31243,B
46.43915,-71.79157,C
46.44275,-71.66406,C
46.35762,-71.88409,A
46.33963,-71.91536,B
46.33783,-71.91276,B
45.53058,-73.20507,C
46.35941,-71.57421,A
46.1274,-71.40369,A
46.91936,-70.28988,B
46.09862,-70.73055,B
45.95174,-72.21378,A
45.36481,-71.48592,B
45.36481,-70.82821,B
46.61571,-72.66012,B
47.36211,-72.8028,A
47.29766,-72.80814,C
47.3792,-72.78419,C
48.19724,-70.87214,C
47.52968,-72.81335,B
47.29856,-72.80814,A
47.35941,-72.7935,B
46.59592,-74.12871,B
46.70264,-73.8176,B
48.10582,-70.03754,B
48.21703,-70.87213,B
46.93915,-71.23815,B
47.6319,-70.21263,C
47.6256,-70.21931,B
46.93375,-71.40876,C
48.03238,-70.87498,B
47.43825,-72.74867,B
46.8765,-71.37062,B
46.8765,-71.15219,B
47.03597,-70.89028,B
47.42206,-72.80276,A
47.68735,-72.24866,C
47.61031,-72.95064,D
47.60762,-70.23799,C
48.18106,-70.54961,D
46.71073,-72.55317,C
46.19904,-73.57944,C
46.34143,-73.3841,B
46.77338,-74.0597,A
47.95983,-69.87235,C
46.92296,-71.21576,C
47.03417,-71.41271,B
46.28957,-72.78908,C
46.96343,-71.40349,B
47.69724,-70.24599,B
46.52878,-72.49216,B
47.872,-73.80652,B
47.35762,-73.2115,D
47.28507,-72.22348,D
48.75809,-73.79104,C
47.622,-73.20063,B
47.6256,-73.16133,B
47.63459,-73.15466,B
47.6265,-72.97331,A
47.6247,-72.97198,A
46.10402,-73.69941,C
47.54407,-72.63336,D
47.86301,-74.15862,B
47.78148,-69.96788,C
47.70084,-70.06863,A
46.18735,-73.6186,B
46.92926,-72.29778,B
46.54047,-74.0598,B
46.5054,-73.78368,D
46.51709,-72.72386,D
46.84502,-71.12985,C
48.26888,-70.80901,C
47.7563,-70.0325,C
46.91846,-71.21182,B
46.54227,-72.80195,B
46.43645,-72.80071,C
46.54227,-72.64967,B
46.43915,-72.38926,C
46.17116,-73.70195,A
46.6283,-72.04012,B
46.70354,-72.79661,B
48.58513,-73.53303,D
47.84772,-69.90595,C
47.77968,-69.9719,C
47.52338,-70.39536,B
47.77158,-69.97993,B
47.7554,-70.0325,B
47.58693,-70.30933,C
47.69634,-73.29993,B
46.10402,-73.49222,B
46.68016,-72.63259,B
47.45624,-70.49468,B
47.93375,-69.88714,B
48.00809,-69.82661,C
47.03327,-70.91271,A
48.44544,-69.30622,C
48.94994,-68.95207,D
48.53058,-69.30617,B
49.29946,-68.31127,C
49.03957,-68.57647,A
49.08603,-68.47528,B
49.08693,-68.39881,B
49.10672,-68.39056,A
48.52878,-69.30753,B
48.43465,-69.39362,C
49.1256,-68.40155,C
48.21793,-69.82524,B
48.45893,-69.30214,B
49.3729,-68.221,C
49.42116,-68.15008,C
48.61931,-69.11633,B
48.46163,-69.54129,B
48.33693,-69.41531,B
49.19724,-68.2211,A
49.44005,-70.30567,A
48.93465,-68.65435,B
48.93016,-68.66119,B
49.10582,-68.39057,C
49.71343,-68.61799,B
48.76259,-69.12574,A
48.70893,-69.1176,A
50.26169,-69.58193,B
50.08693,-68.82072,B
49.01349,-69.46709,D
48.59053,-69.30886,B
49.45264,-70.24308,D
48.78417,-70.16257,B
49.44544,-68.48755,A
50.02158,-66.87047,B
50.26619,-66.49015,C
48.3738,-71.36928,B
48.51079,-70.95927,B
48.61751,-71.38538,B
48.6247,-71.37449,D
48.55126,-71.47011,D
48.42116,-70.83198,B
48.69994,-71.72275,B
48.86661,-71.79642,D
48.43645,-71.55622,C
48.86931,-71.8442,B
48.85762,-72.0724,C
48.45893,-71.03316,C
48.36031,-71.2995,A
48.6301,-71.38673,D
48.95534,-72.0532,D
48.95624,-72.04224,D
48.68016,-72.41394,C
48.50899,-71.29532,C
49.29317,-73.70725,B
48.68915,-71.45096,D
48.6283,-71.55612,C
48.61211,-71.4864,C
48.59862,-71.62179,C
48.21163,-72.22976,B
48.34952,-71.29138,B
48.69814,-72.47275,D
48.33693,-72.12473,B
48.29137,-72.15856,B
48.25899,-72.20272,B
48.29227,-72.13693,C
48.6211,-71.38402,D
49.96163,-74.37892,C
48.63549,-71.54251,B
48.84682,-72.6325,D
48.52608,-71.5426,C
48.54407,-71.14629,B
50.29407,-73.87444,C
49.7563,-74.98608,B
48.42026,-71.14092,D
48.92206,-72.65982,D
48.6283,-72.56973,C
49.10312,-72.36859,D
48.44005,-71.31978,C
49.10672,-72.37545,D
49.91846,-74.3054,B
49.34772,-72.31263,D
48.5036,-72.45114,C
48.93735,-72.64613,C
49.86931,-74.37202,D
50.38459,-73.8941,B
49.43825,-74.32504,B
51.17566,-73.87363,D
49.36211,-70.99862,B
49.77338,-74.89996,B
48.44365,-70.80622,C
48.46793,-71.04671,B
49.03687,-70.62414,C
49.28238,-71.31127,B
48.70444,-71.72547,A
49.43645,-72.21543,C
49.18196,-73.04894,A
50.0027,-74.24021,B
49.93915,-74.1513,B
49.77158,-74.45683,B
48.35402,-72.56303,A
49.93016,-74.20809,B
50.02788,-74.2472,B
48.71523,-72.69957,D
45.93196,-76.71121,C
45.8756,-74.73967,C
45.86211,-74.9115,C
45.91936,-77.19958,C
45.78957,-75.61895,B
46.1256,-75.5457,D
46.02158,-76.11875,C
45.95534,-75.61751,C
45.93825,-75.97414,B
45.86211,-76.04976,C
46.21073,-75.90237,C
45.85851,-74.39471,B
46.33513,-74.80338,B
46.1328,-74.78532,C
46.91846,-75.3719,C
45.76709,-76.47808,C
46.29047,-75.91016,B
45.94095,-74.73965,C
46.59592,-74.82025,B
45.93645,-76.73578,C
45.79047,-75.07044,D
45.8747,-75.24742,D
45.94095,-75.82945,C
45.85492,-75.87664,B
