Latitude,Longtitude,Area_Class
48.75719,-67.45225,Type B
48.60762,-67.56837,Type C
48.84772,-67.2008,Type A
48.83603,-64.6653,Type B
48.36661,-64.72834,Type B
47.84143,-68.71114,Type A
48.09682,-65.46095,Type E
48.02428,-65.46101,Type C
48.1211,-66.41397,Type C
48.50719,-67.89902,Type B
49.17386,-64.87402,Type B
48.46793,-64.83198,Type B
48.68196,-67.95641,Type A
48.03238,-65.38708,Type B
48.03148,-66.87229,Type B
48.96343,-64.40845,Type C
48.3738,-64.56438,Type B
48.36931,-64.63959,Type B
47.04676,-69.89423,Type B
47.20893,-69.82009,Type E
46.95714,-70.2052,Type C
47.77788,-68.64258,Type B
47.70534,-68.47995,Type D
48.78507,-67.31832,Type C
48.29676,-67.37882,Type A
49.1292,-64.95465,Type C
48.7518,-64.37438,Type B
48.35222,-65.89772,Type B
47.35042,-69.78687,Type C
47.91936,-68.63043,Type B
46.46253,-70.53372,Type B
46.36481,-71.61584,Type B
46.27518,-70.30991,Type C
46.17926,-70.31905,Type C
46.19095,-70.47532,Type B
46.76619,-71.16404,Type C
46.52698,-70.19902,Type A
46.29407,-71.62372,Type B
46.5009,-71.31243,Type B
46.43915,-71.79157,Type C
46.44275,-71.66406,Type C
46.35762,-71.88409,Type A
46.33963,-71.91536,Type B
46.33783,-71.91276,Type B
45.53058,-73.20507,Type C
46.35941,-71.57421,Type A
46.1274,-71.40369,Type A
46.91936,-70.28988,Type B
46.09862,-70.73055,Type B
45.95174,-72.21378,Type A
45.36481,-71.48592,Type B
45.36481,-70.82821,Type B
46.61571,-72.66012,Type B
47.36211,-72.8028,Type A
47.29766,-72.80814,Type C
47.3792,-72.78419,Type C
48.19724,-70.87214,Type C
47.52968,-72.81335,Type B
47.29856,-72.80814,Type A
47.35941,-72.7935,Type B
46.59592,-74.12871,Type B
46.70264,-73.8176,Type B
48.10582,-70.03754,Type B
48.21703,-70.87213,Type B
46.93915,-71.23815,Type B
47.6319,-70.21263,Type C
47.6256,-70.21931,Type B
46.93375,-71.40876,Type C
48.03238,-70.87498,Type B
47.43825,-72.74867,Type B
46.8765,-71.37062,Type B
46.8765,-71.15219,Type B
47.03597,-70.89028,Type B
47.42206,-72.80276,Type A
47.68735,-72.24866,Type C
47.61031,-72.95064,Type D
47.60762,-70.23799,Type C
48.18106,-70.54961,Type E
46.71073,-72.55317,Type C
46.19904,-73.57944,Type C
46.34143,-73.3841,Type B
46.77338,-74.0597,Type A
47.95983,-69.87235,Type C
46.92296,-71.21576,Type C
47.03417,-71.41271,Type B
46.28957,-72.78908,Type C
46.96343,-71.40349,Type B
47.69724,-70.24599,Type B
46.52878,-72.49216,Type B
47.872,-73.80652,Type B
47.35762,-73.2115,Type D
47.28507,-72.22348,Type D
48.75809,-73.79104,Type C
47.622,-73.20063,Type B
47.6256,-73.16133,Type B
47.63459,-73.15466,Type B
47.6265,-72.97331,Type A
47.6247,-72.97198,Type A
46.10402,-73.69941,Type C
47.54407,-72.63336,Type E
47.86301,-74.15862,Type B
47.78148,-69.96788,Type C
47.70084,-70.06863,Type A
46.18735,-73.6186,Type B
46.92926,-72.29778,Type B
46.54047,-74.0598,Type B
46.5054,-73.78368,Type E
46.51709,-72.72386,Type D
46.84502,-71.12985,Type C
48.26888,-70.80901,Type C
47.7563,-70.0325,Type C
46.91846,-71.21182,Type B
46.54227,-72.80195,Type B
46.43645,-72.80071,Type C
46.54227,-72.64967,Type B
46.43915,-72.38926,Type C
46.17116,-73.70195,Type A
46.6283,-72.04012,Type B
46.70354,-72.79661,Type B
48.58513,-73.53303,Type D
47.84772,-69.90595,Type C
47.77968,-69.9719,Type C
48.19814,-70.63159,Type A
49.0045,-75.0614,Type C
49.20804,-74.53928,Type D
47.52338,-70.39536,Type B
47.77158,-69.97993,Type B
47.7554,-70.0325,Type B
47.58693,-70.30933,Type C
47.69634,-73.29993,Type B
46.10402,-73.49222,Type B
46.68016,-72.63259,Type B
47.45624,-70.49468,Type B
47.93375,-69.88714,Type B
48.00809,-69.82661,Type C
47.03327,-70.91271,Type A
48.44544,-69.30622,Type C
48.94994,-68.95207,Type D
48.53058,-69.30617,Type B
49.29946,-68.31127,Type C
49.03957,-68.57647,Type A
49.08603,-68.47528,Type B
49.08693,-68.39881,Type B
49.10672,-68.39056,Type A
48.52878,-69.30753,Type B
48.43465,-69.39362,Type C
49.1256,-68.40155,Type C
48.21793,-69.82524,Type B
48.45893,-69.30214,Type B
49.3729,-68.221,Type C
49.42116,-68.15008,Type C
48.61931,-69.11633,Type B
48.46163,-69.54129,Type B
48.33693,-69.41531,Type B
49.19724,-68.2211,Type A
49.44005,-70.30567,Type A
48.93465,-68.65435,Type B
48.93016,-68.66119,Type B
49.44814,-70.32365,Type B
49.10582,-68.39057,Type C
49.71343,-68.61799,Type B
48.76259,-69.12574,Type A
48.70893,-69.1176,Type A
