latitude,longitude,area
48.75719,-67.45225,0.2
48.60762,-67.56837,8.5
48.84772,-67.2008,0.1
48.83603,-64.6653,0.6
48.36661,-64.72834,0.9
47.84143,-68.71114,0.1
48.09682,-65.46095,126.5
48.02428,-65.46101,1.1
48.1211,-66.41397,4.8
48.50719,-67.89902,0.7
49.17386,-64.87402,0.4
48.46793,-64.83198,0.4
48.68196,-67.95641,0.1
48.03238,-65.38708,0.4
48.03148,-66.87229,0.4
48.96343,-64.40845,6.9
48.3738,-64.56438,0.6
48.36931,-64.63959,0.2
47.04676,-69.89423,0.4
47.20893,-69.82009,188.5
46.95714,-70.2052,2.6
47.77788,-68.64258,0.4
47.70534,-68.47995,69.1
48.78507,-67.31832,1.4
48.29676,-67.37882,0.1
49.1292,-64.95465,1.1
48.7518,-64.37438,0.6
48.35222,-65.89772,0.7
47.35042,-69.78687,1.6
47.91936,-68.63043,0.2
46.46253,-70.53372,0.2
46.36481,-71.61584,0.6
46.27518,-70.30991,1.2
46.17926,-70.31905,2.8
46.19095,-70.47532,0.3
46.76619,-71.16404,1.2
46.52698,-70.19902,0.1
46.29407,-71.62372,0.8
46.5009,-71.31243,0.8
46.43915,-71.79157,9.7
46.44275,-71.66406,2.4
46.35762,-71.88409,0.1
46.33963,-71.91536,0.8
46.33783,-71.91276,0.4
45.53058,-73.20507,8.0
46.35941,-71.57421,0.1
46.1274,-71.40369,0.1
46.91936,-70.28988,0.6
46.09862,-70.73055,0.2
45.95174,-72.21378,0.1
45.36481,-71.48592,0.2
45.36481,-70.82821,0.4
46.61571,-72.66012,0.5
47.36211,-72.8028,0.1
47.29766,-72.80814,1.8
47.3792,-72.78419,3.6
48.19724,-70.87214,1.6
47.52968,-72.81335,0.2
47.29856,-72.80814,0.1
47.35941,-72.7935,0.7
46.59592,-74.12871,0.6
46.70264,-73.8176,0.2
48.10582,-70.03754,0.8
48.21703,-70.87213,0.6
46.93915,-71.23815,0.6
47.6319,-70.21263,3.2
47.6256,-70.21931,0.8
46.93375,-71.40876,4.0
48.03238,-70.87498,0.4
47.43825,-72.74867,0.2
46.8765,-71.37062,0.2
46.8765,-71.15219,0.4
47.03597,-70.89028,0.4
47.42206,-72.80276,0.1
47.68735,-72.24866,4.6
47.61031,-72.95064,10.1
47.60762,-70.23799,2.0
48.18106,-70.54961,271.9
46.71073,-72.55317,1.8
46.19904,-73.57944,4.4
46.34143,-73.3841,0.6
46.77338,-74.0597,0.1
47.95983,-69.87235,2.4
46.92296,-71.21576,2.0
47.03417,-71.41271,0.6
46.28957,-72.78908,1.5
46.96343,-71.40349,0.5
47.69724,-70.24599,0.8
46.52878,-72.49216,0.6
47.872,-73.80652,0.5
47.35762,-73.2115,22.9
47.28507,-72.22348,28.7
48.75809,-73.79104,2.2
47.622,-73.20063,0.8
47.6256,-73.16133,0.5
47.63459,-73.15466,0.2
47.6265,-72.97331,0.1
47.6247,-72.97198,0.1
46.10402,-73.69941,5.1
47.54407,-72.63336,149.7
47.86301,-74.15862,0.3
47.78148,-69.96788,4.7
47.70084,-70.06863,0.1
46.18735,-73.6186,0.2
46.92926,-72.29778,0.6
46.54047,-74.0598,0.3
46.5054,-73.78368,194.6
46.51709,-72.72386,46.5
46.84502,-71.12985,1.2
48.26888,-70.80901,1.2
47.7563,-70.0325,3.2
46.91846,-71.21182,0.2
46.54227,-72.80195,0.8
46.43645,-72.80071,2.1
46.54227,-72.64967,1.0
46.43915,-72.38926,1.9
46.17116,-73.70195,0.1
46.6283,-72.04012,0.5
46.70354,-72.79661,0.8
48.58513,-73.53303,64.7
47.84772,-69.90595,2.8
47.77968,-69.9719,4.0
48.19814,-70.63159,0.1
49.0045,-75.0614,5.8
49.20804,-74.53928,76.1
47.52338,-70.39536,0.4
47.77158,-69.97993,0.8
47.7554,-70.0325,0.9
47.58693,-70.30933,2.0
47.69634,-73.29993,0.2
46.10402,-73.49222,0.2
46.68016,-72.63259,0.2
47.45624,-70.49468,1.0
47.93375,-69.88714,0.8
48.00809,-69.82661,1.2
47.03327,-70.91271,0.1
48.44544,-69.30622,1.8
48.94994,-68.95207,36.4
48.53058,-69.30617,0.6
49.29946,-68.31127,6.0
49.03957,-68.57647,0.1
49.08603,-68.47528,0.4
49.08693,-68.39881,0.4
49.10672,-68.39056,0.1
48.52878,-69.30753,0.7
48.43465,-69.39362,2.0
49.1256,-68.40155,1.2
48.21793,-69.82524,0.2
48.45893,-69.30214,0.3
49.3729,-68.221,4.8
49.42116,-68.15008,7.2
48.61931,-69.11633,0.8
48.46163,-69.54129,0.6
48.33693,-69.41531,0.2
49.19724,-68.2211,0.1
49.44005,-70.30567,0.1
48.93465,-68.65435,0.2
48.93016,-68.66119,0.2
49.44814,-70.32365,0.3
49.10582,-68.39057,1.2
49.71343,-68.61799,0.3
48.76259,-69.12574,0.1
48.70893,-69.1176,0.1
50.26169,-69.58193,0.4
50.08693,-68.82072,0.6
49.01349,-69.46709,70.8
48.59053,-69.30886,0.9
49.41757,-69.16528,0.8
49.52158,-69.30424,4.0
49.6301,-69.46112,0.2
49.13459,-69.91254,0.2
49.1319,-69.91529,4.8
50.78957,-69.05061,0.1
49.6301,-69.45557,20.2
50.59053,-64.71034,56.6
49.77428,-69.58194,0.2
50.44454,-68.65537,4.5
50.59322,-66.20325,263.0
51.77878,-59.23837,242.8
50.78327,-63.48862,12.1
50.1328,-67.98176,0.1
50.93735,-68.82905,0.1
52.10132,-67.6652,8.4
52.20893,-69.89025,9.7
51.85132,-59.03238,242.8
51.86481,-59.13463,242.8
50.8828,-63.28772,1.2
51.85762,-59.12153,4.0
51.78597,-58.81589,16.1
51.28058,-63.30314,12.1
50.83963,-63.24858,4.8
51.75809,-62.94915,210.4
51.79317,-61.33042,728.4
51.29137,-66.68097,46.5
51.78867,-61.71075,16.1
49.45264,-70.24308,30.3
48.78417,-70.16257,0.7
49.44544,-68.48755,0.1
52.18375,-69.81866,129.4
52.26079,-68.07599,0.1
52.2563,-67.90638,0.2
52.20624,-68.04224,0.1
51.83333,-67.55714,404.6
52.36211,-67.06271,202.3
52.2563,-68.06864,0.1
52.26799,-68.08039,0.2
52.29497,-68.23824,0.2
50.02158,-66.87047,0.2
